ID,Name,Latitude,Longitude,Elevation
29747303,Maesglase (Craig Rhiw-erch),52.7200006,-3.7524667,678
29747500,Broniarth Hill,52.7062127,-3.2309058,265
29747504,Middletown Hill,52.7139557,-3.0297961,367
29748153,Moel Y Llyn,52.7247775,-3.5659574,443
29748154,Pen-y-ffridd Cownwy,52.7468944,-3.518516,497
29748159,Pen Y Waun Ffraith,52.7488855,-3.5384412,486
29748263,Foel Lluestbadlon,52.7395396,-3.6019234,514
29748264,Mynydd Coch,52.7642939,-3.5741379,569
29748279,Maenaidd,52.7614887,-3.6655816,585
29748287,Foel Benddin,52.7318561,-3.6941773,543
29748306,Glasgwm,52.7601254,-3.7252504,779
29749333,Y Garn,52.789318,-3.9253852,629
29749785,Mynydd Cwm-mynach,52.7816695,-3.9642486,387
29750066,Foel Hafod-fynydd,52.7903076,-3.6660322,689
29750067,Cefn Glas,52.7847433,-3.7129904,617
29750079,Aran Fawddwy,52.7870024,-3.6878778,905
29750143,Mynydd St John,52.7710119,-3.5227081,513
29750144,Allt yr Eryr,52.7973917,-3.546175,544
29750145,Bryn Mawr,52.7855218,-3.5573795,534
29750176,Ffridd Fach,52.7913518,-3.4464322,457
29750177,Rhialgwm,52.7798498,-3.4024499,540
29750210,Y Glog,52.7767183,-3.3484351,408
29750241,Mynydd y Glyn,52.7910275,-3.2567961,389
29750279,Mynydd y Bryn,52.8335391,-3.1645896,335
29750653,Moel Hen-fache,52.8437234,-3.323551,521
29750661,Glan-hafon,52.8350766,-3.3678516,608
29750695,Cyrniau,52.8160003,-3.3916356,488
29750696,Bryn Gwyn,52.8056951,-3.4348009,539
29750697,Cyrniau Achlas,52.8279671,-3.4936768,611
29750698,Rhwng y Ddwynant,52.8107122,-3.5179678,588
29750699,Garreg Wen,52.8201536,-3.5197658,599
29750700,Stac Rhos,52.838327,-3.531686,630
29750750,Foel Tyn-y-fron (Moel y Pawl),52.8182245,-3.6061526,605
29750752,Foel Rhudd,52.8021951,-3.6384363,659
29751008,Aran Benllyn,52.8044652,-3.6818188,884
29751103,Foel Ddu,52.8052877,-3.7541507,465
29751104,Dduallt,52.8306942,-3.7670037,654
29751113,Craig Aberserw,52.8214488,-3.9370651,442
29752270,N/A,53.9954141,-2.5377889,N/A
29752271,Baxton Fell,53.9992837,-2.5019489,469
29752272,Middle Knoll,53.9834307,-2.5294526,N/A
29752273,Burn Fell,53.9769354,-2.4985911,N/A
29752274,N/A,53.953096,-2.4912448,244
29752286,N/A,53.965012,-2.5463402,N/A
29759792,Llawlech,52.7696367,-4.0298513,585
